text,label
sumpah malah makin ribet camat tempat makin gampang mana syarat banyak makin cepet mudah tadi ken akses rumah keluar yaudah langsung camat tempat masing masing,0
apk dlm ganggam mudah,1
bagus cepat layan,1
susah masuk simple,1
aplikasi bagus siih cuma lama itu proses baik data tanggal november sampe selesai,0
mantap ngebantu apa buat yg kerja sering keluar kota asal sempat waktu internet semua urus sendiri rasa sia bayar pajak tambah saran pribadi aman basic it sedikit banyak erti baik kendala maksud kurang lihat ulas orang gaptek sulit mungkin user friendly update depan,1
jamin mudah masyarakat bukti pakai fleksibel buang buang waktu tenaga mudah sukses selalu,1
pertama kali buat akta mati lalu salam nov hasil mudah cepat muas keren disdukcapil kota bandung,1
bagus manfaat bantu sekali,1
kelas pemkot bandung dipake ios malu in,0
bantu masyarakat mudah kan urus selalu anggap sulit moga tingkat,1
percuma salam masuk nik pasword salah padahal bner apk anehh,0
alhamdulillah bantu mudah,1
salam urus surat pindah mudah cepat,1
baik banyak bugs aplikasi login ribetnya minta ampun,0
hp dipake buat login karna pernah buat login nik yg solusi,0
keren mudah masyarakat yg anti calo,1
koreksi aju proses centang selesai aju,1
layan salam kota bandung the best,1
baru daftar nik ktp sma kk sesuai gilir login gabisa hp daftar nik daftar masuk nik tetap gabisa masuk,0
bantu sedang luar kota tetap urus surat surat penting,1
batu tahu bagaimana cara urus surat surat yg perlukam,1
aneh nik sudh terdftr reset pasword gbisa,0
guna manfaat,1
bantu mudah cepat,1
engga baru pertama daftar terang nik daftar coba nik sama akun akun email cocok,0
klo beli hp ken lalu guna milik hp belum malah jd gk masuk daftar baruu gk sama sekaliii perangkat daftar belum,0
keren proses cepat mudah,1
mudah nyaman,1
mantap mudah masyarakat,1
data pakai orang gimana,0
cik atuh euy nyieun make duit rakyat nu baleg layan kudu gancang gawe pns na ulah salare wae,0
good job,1
nyusahan daftar login salam tetep daftar kan pake nik orang padahal kan pernah daftar kan pke nik orang email selalu salah padahal emil bener ribet nie bikin dokumen dowlod salam tetep susah masuk,0
bantu jd perlu repot datang lokasi buat antri ribet,1
bantu sekali cepat,1
layan online ribet cuma lama proses buat kia inline moga depan mudah cepat,1
bantu sekali,1
hallo kapan aju buat kia beberapa bulan nunggu eror datang tempat sama kata apk eror sana eror gimana kapan baik,1
bantu mudah paham,1
kurang singkron file yg minta upload form yg pdf bagi akta lahir form pdf cm hlm tp pas upload minta hlm baik mngkin jenis layan jg yg singkron bagi form bpjs sehat cm pilih dftr bpjs bbl daftar harusny pilih daftar krn yg daftar dr rs,1
kepake buat cari info pribadi sendiri,0
urus pindah bandung bogor tgl oktober urus rt rw lurah camat sendiri semua berkas lengkap minta lalu lanjut salam besok tgl okt notifikasi data hasil proses malam cek email nyata surat pindah bantu sekali buat tugas kel cipadung kec cibiru kota bandung the best layan,1
aju tiba tiba hilang notifikasi gagal apa kocak,0
mudah simpel,1
guna urus administrasi duduk gampang online disdukcapil langsung hari langsung beres duduk manis rumah,1
mudah guna meski aju awal butuh waktu hari proses nyata gagal dokumen sedikit kurang lengkap baik aju waktu butuh cepat sekali esok hari aju dokumen aju selesai proses terus kembang sama,1
bantu perlu repot,1
bagus bantu,1
bantu ada online buat kia akses terus kapan klik,1
bagus cepat,1
mantap fast and mudah,1
mudah cepat,1
kata mudah baru daftar malah daftar aneh sejak kapan daftar isi pake email sama teu,0
alhamdulillah aju pindah datang buat kk baru hari selesai bantu trimaksih,1
guna mudah proses buat akte cepat alhamdulillah mudah bantu sekali,1
login susah soal no hp sama gmail hilang,0
awal form apa yg siap makin klik makim banyak tuh tambah berkas mending lgsg dtg lebiiih jelaaaas,0
mudah sekali,1
mudah birokrasi yg ribet gratis pungli kdm,1
mudah urus online,1
nik sama no hp sd bnar ttp gk login tong gimana solusi,0
cepat mudah,1
mudah dokumen tinggal cetak sendiri praktis,1
buat ktp gaada sayang,0
daftar perlu pindah duduk luar kota nik yg daftar sdh pernah daftar padahal baru pertama kali sya kenal apl tunjuk karna butuh bantu,0
bagus gampang erti,1
proses cepat baik,1
mudah aplikasi simpel mudah erti,1
bantu proses up cepat trima kasihh,1
apk tolol inti gabisa login aneh,0
canggih disduk nihh keren habisss,1
mudah orangtua buat akte lahir kartu keluarga baru utama orangtuanya kerja luar kota dinas kait atas buat salam,1
harus mobile jkn login loginnya pake hape yg daftar awal gitu soal ganti hape,0
awal download sampe sekarang susah masuk,0
alhamdulillah kia selesai proses,1
gada appstore,0
bantu urus administrasi semua serba online,1
aju dokumen mudah cepat ongkos pungli satset sukaa,1
nyusahin doang daftar bilang daftar padahal baru pertama pake terus nyoba log in akun email sesuai nyoba reset password bilang email cocok terus komplen,0
layan disdukcapil kota bandung mudah aju keluar rumah,1
yg mudah urus data duduk,1
bantu urus administrasi duduk cepat praktis perlu antri semua serba online tangan adu tangan cepat saran buat kia adakan fitur antar via gojek pos tahun praktis perlu gerai,1
baguss bantu tampa datang lokasi,1
bikin kia,1
mending pake asal ngerti pakenya tanya google gratis pake calo rb,1
mudah layan,1
masuk nik daftar padahal pernah,0
mudah urus kartu keluarga akte lahir buat kia lewat ganggu,1
mudah segala kait catat sipil,1
yg bantu mudah urus duduk online praktis cepat butuh waktu lama estimasi hari kerja nyata hasil cepat beres kurang minggu beres berkas recommended salam mudah paham warga awam gaptek smart digitalisasi cepat erti,1
alhamdulillah bantu yg tadi sekarang bisaa bantu butuh mksihh sekali segala jfi mudah,1
terang coba daftar nik masuk pernah daftar jelas reply masuk padahal pernah login,0
pernah daftar nik pakai lupa password jiga tetep gabisa apk tolol,0
aju buat akte lahir baru selesai malah nama bayi salah lengkap padahal suket lahir antar dr lurah jelas nama lengkap skrg aju baik data terang proses koq lama layan online malah bener bener kecewa,0
bagus cepat layan rumah,1
hp android jadul kaya orang gaptek yk perlu alat komunikasi pake vivo download penting sbab cocok versi android utk org mampu bli hp baru pantas jd publik karna hnya dipake golong tentu sayang,0
mudah urus kk akta mati online,1
mudah ribet tinggal tunggu buat apa duduk mudah makasih salam,1
tahun log in pas log in lupa password trus reset password nik email cocok,0
great job thanks,1
mudah guna efisien urus perlu masyarakat,1
puas inovatif,1
layan keren cepat,1
layan bagus usul layan sistem on line layan baik hari selesai tks,1
batu gk antri tinggal nunggu proses ajh,1
good sekali,1
semua serba online lewat pos antar biar waktu produktip pegawai kerja bagus puas sekali sayang luangin waktu ambil jadi sita waktu juang rupiah kerja cukup muas aplikasi benahin karna kadaang masuk kadang masuk kota bandung kota jaman canggih serba online benah,1
login susah email nik daftar padahal pernah daftar sama sekali cape beberapa kali nyoba ngulang terus,0
bantu ada salam,1
bantu manfaat mantap,1
simple bantu beberapa buat surat layan online sempurnain,1
mantap mudah layan,1
buat dokumen duduk praktis mudah,1
bantu mudah birokrasi,1
perintah semua jelek,0
yg sulit rakyat,0
gabisa daftar,0
mohon buat cepat tanggap,1
makasih salam aplikasi bantu,1
bantu sekali orangtua sibuk ato mager,1
alhamdulillah aplikasi bantu,1
alhamdulillah proses mudah lancar pas ambil ngantri dikit masalah,1
kereen bantu,1
bantu simple jelas instruksi,1
proses cepat moga semua layan online,1
aju cepat ribet,1
layan muas disduk kota bandung,1
bantu mudah yg simpel praktis haturnuhun,1
sistem layan yg bagus mudah masyarakat belit belit dulu pernah tugas layan masyarakat utk urus administrasi duduk salut utk disduk,1
layan online asa ktp terus responnya,0
bagus bgus aiip,1
lama pake asa berkas ampun,0
puas layan,1
udh daftar trus log in kode verifikasi lwat email tp pas buka apk salam balik menu login yg hrus masukin nik sm pasword gitu trus smpe udh gitu udh malah gabsa blmjga masukin kode verifikasi apknya keluar mulu stiap buka apk buka gmail buat liat kode verifikasi,0
br daftar tp daftar ko padahal lama blm pernah daftar apl salam,0
cepat batu sekali,1
yoi santai,1
layan aju kia bisadi akses ganggu,0
bantu bener bener selesai genggam team kait puas atas layan,1
bantu aju tolak alas suruh disdukcapil trs apa hamil gede ttp kesana padahal effort nyiapin berkas buat,0
baik dilanjutjan,1
mantap tap top,1
salam bantu,1
aju mudah terlalu ribet cukup stay rumah klau tinggal print file pdf,1
buat kia offline terus,0
bantu adminitrasi,1
proses aju mudah cepat contoh buat kota kabupaten lain,1
bantu sekali buang buang waktu cepat tepat akurat mantap,1
bantu mudah,1
baik mudah sekali,1
susah masuk oy error mulu gimana ambil surat pindah gabisa login salam,1
suruh mati wifi guna data dilakuin tetep versi sama update android os tetep bisaa hadeuh,0
daftar tombol buat akun respon baik system,0
macam apa baru daftar ngebug ampas,0
ko login yah apa hari sabtu hari minggu login salam terang login pakai wifi hrus pakai data seluler udh pakai data seluler buka,1
buka kata suruh matiin wifi pake data seluler pake data seluler msih ttep buka,0
tiba tiba masuk apk cek pengajuak kia anak notif verifikasi perangkat padahal kemarin ngajuin pake hp sama,0
salam ganggu tiba tibah log out pas log in ulang malah keluar notif alplikasi verifikasi perangkat suruh guna data seluler lalu log in ikut intruksinya tetep log in apa salah padahal perangkat yg guna log in salam pernah ganti,0
yg sama buka hp tp mlah suport,0
aneh sinyal banyak kouta banyak login herannn padahal dag baguss koneksi aneh,0
busuk gk pake koneksi wifi,0
buka daftar online akte lahir,0
awal susah tugas online sabar baik alhamdulillah lancar,1
mudah proses cepat,1
sangant bantu,1
moga layan makin cepat,1
bikin kia bulan april tp skrg bulan juli beres yaa,0
layan cepat ribet,1
bantu hasil muas,1
mantap aplikasi bantu sekali,1
kereenn batu usah riweh kesana kemari duduk santai pindah camat trima salam,1
bantu yg kerja,1
kurang responsif tanya apk sebut nomor yg tera,0
puas layan proses cepat cepat pokok mantapp,1
ko proses lama perihal aju kia,0
keren bikin akte satset perlu dukcapil cukup lewat sini,1
aplikasi mantap layan mantap,1
cepat mudah praktis,1
mantap cepat,1
bantu kan pernah daftar sama sekali daftar malah notif nik sama email daftar nik email masuk cocok cerah soal urgent,0
pindah ribet bayak surat cukup kk sama ktp nga maju maju indonesia,0
salam mudah bantu moga depan baik,1
urus dokumen mudah,1
cepat proses,1
moga makin baik,1
alam baik pertama kali aju mohon surat pindah keluar kota hasil aman kondusif salam ilmu yg guna kurang paham online poko baik,1
bantu proses mudah,1
kata mudah buat akta lahir hampir bulan selesai lengkap berkas tinjau hampir bulan anak bulan status aju akta lahir status lengkap luar kota mungkin offline buat online malah mudah sulit warga,0
pake mudah buat ibu kerja online disdukcapil kota bandung mudah sekali warga,1
hp pernah sekalipun menginstal pas log in perangkat daftar nik orang bandung smart verivikasi banyak diam bandung asli orang ntt meni bikin ktp orang bandung mana punya anak,0
bantu buat admistrasi kk ktp akta lahir,1
jaman covid bantu moga tingkat,1
kompatibel perangkat,0
bagus mudah masyarakat kerja perlu ijin pergi dukcapil,1
bantu ada,1
payah tiap kali buka terus baik,0
buka maintenance terus coba ulang install sm saat masyarakat butuh buat sekolah eh error moment yg pass,0
error terus,0
layan cepat mudah,1
keren bikin apa cepat kilat bikin surat pindah domisili nyampe hari lngsg jempol buat disdukcapil bandung,1
alhamdulillah pake surat antar rt rw tinggal upload ribet buat cepat jadi antri antri panjang,1
bagus cuman sayang ngambil kartu sendiri kirim misal via pos bayar kirim sebernya gpp soal kerja luar kota jd susah ambil cuti dulu,1
mantap warga semua bantu sekali tungkatkan kerja menjdi baik,1
lucu lurah arahin onlien lewat salam semua data masuk bener pas nama salah urus kantor disdukcapil mudah,0
sekarang salam bagus dulu yg instal hp jadul sekarang susah buka walaupun instal ulang,1
aju yg simple,1
bagus pis mantap,1
layan cepat bantu,1
praktis layan disdukcapil muas sopan gercep khusus bagi informasi top markotop tgl kunjung mei,1
baik mudah sy bikin surat pindah bisaasuk,1
proses cukup baik,1
bantu usah bolak balik kantor disdukcapil berkas berkas perlu lengkap,1
aplikasi hapus terinstal hapusu muncul,0
bantu meski selalu banyak yg upload ulang ulang,1
mudah ribet bingung email hilang ttp disdukcapil,1
mudah aju data duduk perlu datang kantor disduk mana kapan langsung aju apa bila syarat lengkap,1
bagus cepat sekali tinggal ganti ktp rusak,1
knp dokumen cetak akta lahir anak bagaimana cara,1
salah ngisi nik log in rubah nik gimana,1
mudah birokrasi,1
mudah segala proses,1
bantu cepat praktis,1
mudah warga aju surat surat butuh,1
proses cepat praktis,1
upload aju,0
eweh respon respon acan wa ge,0
mudah cepat proses,1
cepat praktis mantap,1
layan buruk sistem error solusi sama sekali,0
yg sngat mudah,1
layan cepattttt,1
baik aplikasi guis,1
bantu perlu antri tempat,1
mudah informatif bantu,1
sip lanjut kan program program disduk capil,1
layan cepat bagus bantu,1
reset passwordnya tetap susah login ikut semua tunjuk tetap login gimana,0
butuh malah sulit buka,1
bantu sedang rantau,1
mudah proses cepat meski awal bingung gmn pihak lurah untung ngajarin cara aju buat akta nyata mudah cepat selesai usah pergi kesana kemari,1
ngebantu salam layan bagus,1
lama proses,0
yg bantu warga kota bandung mesti datang kantor disdukcapil gk ribet cepet tahan bintang ada cuman bintang bikin surat pindah skpwni hari bikin terbit kk baru hari mantapppppp,1
buka yah,0
susah masuk,0
layan bagus download dokumen susah notifikasi hilang customer service bantu,1
bantu sekali warga urus duduk,1
disdukcapil kota bandung lalu urus kk ktp surat pindah satu genggam antri jalan ambon,1
oke sy coba pakai duku,1
update ko buka,1
mudah fitur edit,1
mudah kantor disdukcapil,1
mudah urus kk,1
bagus cuma tiap bikin cetak ktp suka versi baru tetep suruh update akhir buka,0
bagus sekali bantu jangan hilang,1
bantu warga kota bandung buat administrasi kependudukam,1
malem buka apa minta bantu,1
tingkat terus layan masyarakat,1
cukup bantu,1
mudah mudah bantu mudah,1
kenapaa beres download suruhh update waktu klik malahh gabisa update pas buka play store malah ngebleng,0
aju beres bagus tambah bintang suruh update sama play store perlu update gimna padahal ngajuin,1
update malah minta update versi padahal playstorenya,0
mudah lapor,1
baru sekali wajar muda hp nggk download versi baru huh,1
buka suruh apdet sedia versi apdet payah,0
bagus tambahakan chat hubung aplikasi buka minta update buka gplay update,1
lumayan kelas negri moga negri penuh org jujur kompeten,1
bantu dlm urus akta mati jd perlu dtg kantor cukup upload tunggu hasil keren pis,1
mudah cepat urus dokumen,1
mantap poko perlu ungkag ingkig,1
bantu simple hrs dtg kantor,1
bantu sekali tingkat terus rekrut it the best for government no korup bismillah,1
mudah erti layan cepat banyak mudah dapat akte lahir anak,1
gmn cara ganti nik sy salah input nik login krn no kk sesuai solusi,1
simple mudah,1
bantu sekali orangtuanya ada kota lahir anak jari masalah buat akte lahir stasi syarat lengkap syarat minta lengkap lengkap buat manfaat,1
layan baik,1
ada salam batu sekali buat urus rt disduk capil,1
mudah proses cepat usah jauh kantor disdukcapil,1
rasa bantu dgn cuma jgn salah upload foto jd ulang,1
manfaat bantu,1
apk bantu sekali aju bagai dokumen duduk,1
mudah segala,1
masuk apk,1
cepat ramah layan,1
wilayah bandung timur manfaat,1
jadi mudah praktis,1
susah login nyieun teu meakeun anggar milyaran teh,0
ada salam urus duduk orang waktu urus pakai kena formulir langsung download bantu segala urus duduk,1
cepat jelas,1
proses lama ribet fitur chat pernah tanggap mending datang langsung dukcapil ribet proses periksa makan waktu,0
manfaat sibuk manfaat,1
bantu mudah serba online,1
makin mudah,1
lama pake nilai perintah kota bandung baik ribet moga terus kembang kota bandung,1
yg bantu masyarakat laku layan publik,1
mudah bantu,1
mudah urus data mudah an proses cepat yaa bikin kia moga cepet beres,1
yg mudah,1
bantu masyarakat urus surat surat penting good,1
bantu sekali makan waktu lama antri panjang mantap pokok,1
muas bantu sekali,1
bagaimana daftar org tsb punya nomer hp,1
kak gimana cara bikin akun nyata nik kelapa keluarga daftar padahal pernah daftar lupa kata sandi masuk email email daftar gatau mana jawab kak butuh,1
mudah semua,1
pas pindah duduk gk klik antar provinsi,0
manfaat mudah urus dokumen,1
moga akta lahir anak terbit salam memang mudah segala buat orang mampu ksana kemari buat ongkos ada salam butuh data lengkap trima salam,1
mudah layan online mudah an data semua aman hecker,1
mudah urus administrasi duduk bantu,1
hapus ni guna aju akta mati org yg tinggal susah sampe bela in dtng kekelurahanan biar org lurah yg bantu input ttp coba lgi rumah ttp trima mohon ribettttttttttt ttt salah dmna gada pembritahuaaan salah dmna bahkan smpe org klurahannya gatau gt lucu nyusahin org yg kerja ngurus susah kelar gatau rimbanga terima mohon ato engga,0
susah masuk kata email masuk pas cek da email masuk sama sekali,0
bantu sekali mudahhh urus semua,1
bantu keren pis sistem hindar praktek calo,1
mudah batu sekali ada layan online salam,1
layan muas mantap banyak sekali bintang,1
luar bandung ka,0
aapaan fungsi sdh instal bs masuk cm stack menu survai,0
awal masuk nik pernah guna lalu aju lalu wa direspon bantu login alhamdulillah login guna layan online sedia aju pindah keluar kota mudah mudah hasil cepat beres,1
mudah guna bantu,1
manfaat mudah top,1
layan cepat,1
tetep sulut,0
masa device cuma nik login pake nik sendiri ngga aneh,0
luar biasa proses cepat,1
ribet ruwet coba tiru dukcapil balikpapan cepat proses urus jaman sekarang perlu yg satset ribet,0
kode verif email masuk kak,0
aju udh selesai tpi file kk blom kirim email,0
mantap lancar jaya,1
bantu sekali proses cepat,1
bantu flexibel cukup duduk manis hp genggam,1
bantu bikin akte mudah ada apk salam,1
aju buat kia tolak terus tunjuk,0
cepat mudah cocok buat orang yg mageran cocok buat orang yg males hadap sama orang kaya,1
aangat bantu mudah buat dokumen,1
lupa kata sandi sama email gmn login,1
terima sedia layan bantu mudah layan online sukses selalu,1
masyaallah bantu sekali buat bikin kia perlu waktu lama proses cepat trimakasih salam,1
cukup bantu masayarakat urus duduk sayang lama aktivasi akun email banyak sampah,1
mantul pis,1
layan bagus,1
yg bantu perlu jauh jauh antri kantor dukcapil tinggal proses lewat salam isi form upload syarat tinggal tunggu notif aju udh selesai baru dukcapil buat ambil hasil proses cepat mudah,1
mudah sekali guna,1
bantu bikin simpel malah ribet salah input dr disduk baik data minta ampun hrs padahal syarat lengkap kurang hrs sdm bawah yg input data masyarakat submit cek dlu jd salah gilir salah masyarakat yg jd ribet urus apa apa hrs domisili padahal alamat ttp cm salah input jd ribet,0
geus paling bener ieu mah kerennnn,1
salam sat set antri panjang niat ngurus akte malah akte kk kia hatur nuhun disdukcapil kota bandung,1
mudah moga semua layan kait data mudah warga bandung medep,1
notifikasi muncul pemberitahuan,1
mantap semua genggam,1
ada bantu sekali segala mudah asal ikut tunjuk selesai cepat akurat jgn lupa data yg kirim kan benar atas segala,1
mudah datang tempat,1
daftar akun salam masuk daftar akun bandung sadayana masuk apk siap jangan dulu luncur,0
bagaimana cara login lupa email pasword,1
pernah buat kartu identitas anak terbit kk baru mudah perlu antri,1
susah dapat verifikasi dr email,1
handphone akun yah bantu urus tetangga punya handphone susah kasihan umur hidup urus online punya handphone,0
proses transparan bagus cuma yg bikin kesel tuh hp akun masa iyah nenek nenek sama kake kake punya hp ngurus yg ortu ortu ku gaptek gmna ngurusin klo hp satu akun,0
aju pindah datang hari langsung layan bagus bantu tera proses selesai dlm waktu jam email,1
bagimana beres aju surat pindah blm dokumenya masuk gmailnya kan print ukur datang disduknya apa bagimana,1
alhamdulillah buat akta dua sdh selesai aju cepat develover bpk ibu tugas atas bantuanya aplikasi manfaat wargi bandung,1
alhamdulilah ada online masyarakat asa bantu terimaksih disduk bandung tahan kan layan yg baik masyarakat maju terus kota bandung,1
donloid gk keluar pke wa alhamdulillah makasih salam sukses bandung,1
bantu data duduk,1
bantu ada salam mudah cepat proses buat dokumen dokumen mudah paham,1
bantu luarrr biasa keren salam kota bandung,1
mudah buat dokumen,1
mudah penting dokumen,1
tanya akte mati osid sopyati blum masuk email,1
baik data documen baca seksama teliti soal hasil sama yg baik,1
bantu sedang ada luar daerah nengajukan online ribet pulang dulu,1
semua sulit,0
sampah masuk salah terus,0
bantu sekali mudah,1
edit nik ktp salah input tau,0
ngurus surat pindah lama bngt parah kya kota sat set kebnykan main hp kali orang yg ngurus,0
aplisaki mudah gampang paham,1
apk bantu sekali,1
bantu chatnya pernah balas apabila tanya,1
responnya cepat,1
salah masukin nik malah nomer kartu keluarga gimana cara edit bingung,0
aju surat pindah de tgl agustus sekarang selesai proses terus,0
banyak bug kerja lama kurang informasi,0
lacak kartu keluarga,1
lama kocak,0
mudah bangettt gaperlu kesana kesini buat ngurus langsung satset jadiii,1
kata boboiboy tea mah baik,1
terbaiks gampang urus duduk kapan mana,1
salam mudah urus surat dokumen salam beres perlu ribet pergi disdukcapil salam mudah segala,1
awal login mudah ajuin pindah duduk ligin survey cuma klik login tau aju acc,0
layan ktp online ngapain disduk capil,0
gampang sekali,1
mantap euy pelayananya cepat,1
proses cepat ribet masalah respon cepat tugas,1
bantu teu kudu ungkag ingkig terdabesttt,1
lumayan cepat komplit syarat percept proses periksa documents,1
bantu masyarakat kota bandung urus adminitrasi duduk,1
bantu sekali jdi mudah layan laku pendaftran dri rumah cara buat akun akativasinya gampang yg pasti berterimakasih sekali ada moga makin baik mantap dlm layan,1
yg bantu,1
